"Group","specificity_group","mean.shm","sd.shm","n.shm","se.shm","lower.ci.shm","upper.ci.shm"
"1-mer","DP",16.8657318478678,10.4767924653001,41648,0.0513370921589185,16.7651100718494,16.9663536238863
"1-mer","PreF",17.4822304637309,12.3989974466765,68488,0.0473782841789729,17.3893690919605,17.5750918355013
"1-mer","Total",18.4184484628757,11.5699986848921,134602,0.0315360687059917,18.3566383481866,18.4802585775649
"20-mer","DP",12.6896053778165,8.49118289676829,120495,0.0244615336642575,12.6416611712275,12.7375495844055
"20-mer","PreF",14.1858080334607,9.20785673510135,69335,0.0349689259608235,14.1172690015129,14.2543470654086
"20-mer","Total",13.2369080118973,8.90127126236553,212821,0.0192950006001256,13.1990902905598,13.2747257332348
